number,nationality,gender,undergrad,grad
745,🇨🇦,♂,Toronto 20,stf MSCS 20
746,🇨🇳,♂,Alberta 20,stf MSCS 20
747,🇨🇳,♀,UCSB 20,stf MSCS 20
749,🇨🇦,♀,Toronto 20,stf MSCS 20
760,🇨🇳,♀,Waterloo 20,stf MSCS 20
761,🇨🇳,♀,UMich 20,stf MSCS 20
762,🇨🇳,♀,UMich 20,stf MSCS 20
763,🇨🇳,♀,UR 20,stf MSCS 20
564,🇨🇦,♂,Chicago 20,stf MSCS 20
770,🇨🇳,♂,UCSD 20,stf MSCS 20
772,🇨🇳,♀,UCSD 20,stf MSCS 20
774,🇨🇦,♀,UCSD 20,stf MSCS 20
775,🇨🇳,♀,UCB 20,stf MSCS 20
776,🇨🇳,♀,GT 20,stf MSCS 20
778,🇨🇳,♂,UCI 20,stf MSCS 20
780,🇨🇳,♂,UCB 20,stf MSCS 20
781,🇨🇳,♂,NUS 18,stf MSCS 21
782,🇨🇳,♂,Rice 20,stf MSCS 20
783,🇨🇳,♂,UMD 20,stf MSCS 20
785,🇨🇦,♀,Toronto 21,stf MSCS 21
786,🇨🇳,♂,Toronto 19,stf MSCS 19
789,🇨🇳,♀,UIUC 19,stf MSCS 19
791,🇨🇳,♀,Tongji 20,stf MSCS 21
793,🇨🇳,♀,Colby 20,stf MSCS 20
796,🇨🇳,♀,Waterloo 20,stf MSCS 20
799,🇨🇦,♀,Toronto 20,stf MSCS 20

709,🇮🇳,♂,IIT 15,stf CS PhD 16
710,🇵🇱,♂,SGH 11,
713,🇨🇳,♂,UMich 20,stf ICME 20
718,🇨🇳,♂,UIUC 20,stf ICME 20
728,🇨🇳,♂,UIUC 18,stf ICME 20
729,🇨🇳,♀,EUR 20,stf ICME 20
733,🇨🇳,♂,Toronto 20,stf MSE 20
743,🇨🇳,♂,THU 18,stf CS PhD 20
784,🇨🇳,♂,PKU 18,CMU INI 18
797,🇨🇳,♀,Brown 20,stf ICME 20

456,🇨🇳,♂,VU 20,
458,🇨🇳,♀,nyush 20,
459,🇨🇳,♀,VU 21,
462,🇺🇸,♀,VU 19,
463,🇨🇳,♂,VU 20,
464,🇨🇳,♂,VU 20,
465,🇨🇳,♂,VU 21,
466,🇨🇳,♀,VU 20,
467,🇭🇰,♂,CUHK 17,VU CS PhD 19
468,🇨🇳,♂,VU 20,
469,🇨🇳,♀,VU 20,Harvard CSE 20
470,🇨🇳,♀,VU 20,
472,🇨🇳,♂,VU 18,CMU MSML 18
473,🇨🇳,♀,VU 19,CMU MSML 19
474,🇨🇳,♂,VU 20,
475,🇨🇳,♀,VU 20,
476,🇨🇳,♂,VU 20,
477,🇨🇳,♀,VU 20,JHU bio PhD 20
478,🇨🇳,♂,VU 20,
479,🇨🇳,♀,PKU 20,hkust CS PhD 21
480,🇨🇳,♂,VU 20,
481,🇨🇳,♀,VU 20,
482,🇨🇳,♂,VU 19,
483,🇨🇳,♂,VU 20,
487,🇨🇳,♀,BUPT 17,VU MSCS 17
488,🇨🇳,♀,VU 20,
489,🇨🇳,♀,Tongji 17,VU CS PhD 18
490,🇨🇳,♀,VU 20,stf ICME 20
491,🇨🇳,♀,UIUC 18,VU CS PhD 18
492,🇨🇳,♂,VU 20,
493,🇨🇳,♀,VU 20,

495,🇨🇳,♀,VU 20,
496,🇨🇳,♀,Duke 21,
497,🇨🇳,♂,,VU CS PhD 18
498,🇨🇳,♂,TJU 15,VU CS PhD 18

026,🇨🇳,♂,VU 21,
042,🇨🇳,♂,Emory 22,

262,🇨🇳,♂,VU 22,
271,🇨🇳,♂,VU 22,
273,🇸🇻,♂,VU 22,
# 274,🇨🇳,♀,Cornell 22,
287,🇺🇸,♀,GT 23,
293,🇨🇳,♀,VU 23,
294,🇨🇳,♀,VU 23,
297,🇨🇳,♀,stf 23,

329,🇨🇳,♂,VU 21,VU MSCS 21
339,🇨🇳,♀,VU 21,
# 357,🇨🇳,♂,Renmin 18,
358,🇨🇳,♂,VU 21,VU bme PhD 21
359,🇨🇳,♂,VU 21,
360,🇨🇳,♂,VU 21,

560,🇨🇳,♂,
561,🇨🇳,♂,
562,🇨🇳,♂,
563,🇨🇳,♂,FDU 21,
565,🇺🇸,♂,VU 21,
569,🇨🇳,♀,

671,🇨🇳,♀,VU 21,
686,🇨🇳,♀,VU 21,
692,🇨🇳,♀,VU 21,
698,🇨🇳,♀,VU 21,

863,🇨🇳,♂,VU 21,
876,🇨🇳,♂,VU 20,

966,?,♀,stf 21,
979,🇨🇳,♀,VU 21,
980,🇨🇳,♀,XMU 17,CMU LTI 17
981,🇨🇳,♀,XJTU 18,CMU MCDS 18
982,🇨🇳,♂,VU 21,CMU MSML 21
983,🇨🇳,♀,VU 21,









